,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
52,West Coast,3,Home,47,2022-04-03,Sunday,4,Perth Stadium,38920,2022,Fremantle,Loss,17,-55,5,1
53,Fremantle,3,Away,102,2022-04-03,Sunday,4,Perth Stadium,38920,2022,West Coast,Win,5,55,17,1
54,Port Adelaide,4,Home,36,2022-04-07,Thursday,7,Adelaide Oval,23058,2022,Melbourne,Loss,18,-32,1,1
55,Melbourne,4,Away,68,2022-04-07,Thursday,7,Adelaide Oval,23058,2022,Port Adelaide,Win,1,32,18,3
56,Geelong,4,Home,80,2022-04-08,Friday,8,Kardinia Park,20505,2022,Brisbane Lions,Win,5,10,2,3
57,Brisbane Lions,4,Away,70,2022-04-08,Friday,8,Kardinia Park,20505,2022,Geelong,Loss,2,-10,5,4
58,Sydney,4,Home,86,2022-04-09,Saturday,3,SCG,22307,2022,North Melbourne,Win,6,11,17,4
59,North Melbourne,4,Away,75,2022-04-09,Saturday,3,SCG,22307,2022,Sydney,Loss,17,-11,6,3
60,Collingwood,4,Home,74,2022-04-09,Saturday,5,Docklands,25897,2022,West Coast,Loss,8,-13,15,4
61,West Coast,4,Away,87,2022-04-09,Saturday,5,Docklands,25897,2022,Collingwood,Win,15,13,8,0
62,Fremantle,4,Home,88,2022-04-09,Saturday,5,Perth Stadium,30201,2022,Greater Western Sydney,Win,3,34,13,2
63,Greater Western Sydney,4,Away,54,2022-04-09,Saturday,5,Perth Stadium,30201,2022,Fremantle,Loss,13,-34,3,2
64,Richmond,4,Home,99,2022-04-09,Saturday,7,MCG,43645,2022,Western Bulldogs,Win,10,38,14,3
65,Western Bulldogs,4,Away,61,2022-04-09,Saturday,7,MCG,43645,2022,Richmond,Loss,14,-38,10,3
66,Essendon,4,Home,103,2022-04-10,Sunday,1,Docklands,24906,2022,Adelaide,Win,16,4,12,1
67,Adelaide,4,Away,99,2022-04-10,Sunday,1,Docklands,24906,2022,Essendon,Loss,12,-4,16,1
68,Hawthorn,4,Home,73,2022-04-10,Sunday,3,MCG,30926,2022,St Kilda,Loss,11,-69,4,4
69,St Kilda,4,Away,142,2022-04-10,Sunday,3,MCG,30926,2022,Hawthorn,Win,4,69,11,2
70,Gold Coast,4,Home,92,2022-04-10,Sunday,4,Carrara,14349,2022,Carlton,Win,9,30,7,1
71,Carlton,4,Away,62,2022-04-10,Sunday,4,Carrara,14349,2022,Gold Coast,Loss,7,-30,9,4
72,Brisbane Lions,5,Home,98,2022-04-14,Thursday,8,Gabba,32312,2022,Collingwood,Win,3,7,9,3
73,Collingwood,5,Away,91,2022-04-14,Thursday,8,Gabba,32312,2022,Brisbane Lions,Loss,9,-7,3,3
74,North Melbourne,5,Home,71,2022-04-15,Friday,4,Docklands,32162,2022,Western Bulldogs,Loss,17,-68,10,2
