,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
833,North Melbourne,3,Away,61,2023-04-01,Saturday,2,York Park,11007,2023,Hawthorn,Loss,7,-19,17,2
834,Greater Western Sydney,3,Home,64,2023-04-01,Saturday,5,Sydney Showground,9691,2023,Carlton,Loss,10,-10,3,2
835,Carlton,3,Away,74,2023-04-01,Saturday,5,Sydney Showground,9691,2023,Greater Western Sydney,Win,3,10,10,2
836,St Kilda,3,Home,92,2023-04-01,Saturday,7,MCG,69255,2023,Essendon,Win,1,18,6,2
837,Essendon,3,Away,74,2023-04-01,Saturday,7,MCG,69255,2023,St Kilda,Loss,6,-18,1,2
838,Port Adelaide,3,Home,86,2023-04-01,Saturday,8,Adelaide Oval,48962,2023,Adelaide,Loss,13,-31,11,3
839,Adelaide,3,Away,117,2023-04-01,Saturday,8,Adelaide Oval,48962,2023,Port Adelaide,Win,11,31,13,2
840,Gold Coast,3,Home,73,2023-04-02,Sunday,2,Carrara,13122,2023,Geelong,Win,15,19,18,1
841,Geelong,3,Away,54,2023-04-02,Sunday,2,Carrara,13122,2023,Gold Coast,Loss,18,-19,15,3
842,Melbourne,3,Home,134,2023-04-02,Sunday,3,MCG,42423,2023,Sydney,Win,4,50,5,3
843,Sydney,3,Away,84,2023-04-02,Sunday,3,MCG,42423,2023,Melbourne,Loss,5,-50,4,5
844,Fremantle,3,Home,108,2023-04-02,Sunday,5,Perth Stadium,56090,2023,West Coast,Win,9,41,12,3
845,West Coast,3,Away,67,2023-04-02,Sunday,5,Perth Stadium,56090,2023,Fremantle,Loss,12,-41,9,1
846,Brisbane Lions,4,Home,116,2023-04-06,Thursday,8,Gabba,33565,2023,Collingwood,Win,8,33,5,2
847,Collingwood,4,Away,83,2023-04-06,Thursday,8,Gabba,33565,2023,Brisbane Lions,Loss,5,-33,8,4
848,North Melbourne,4,Home,84,2023-04-07,Friday,4,Docklands,49062,2023,Carlton,Loss,9,-23,2,2
849,Carlton,4,Away,107,2023-04-07,Friday,4,Docklands,49062,2023,North Melbourne,Win,2,23,9,3
850,Adelaide,4,Home,111,2023-04-08,Saturday,2,Adelaide Oval,33725,2023,Fremantle,Win,7,39,14,2
851,Fremantle,4,Away,72,2023-04-08,Saturday,2,Adelaide Oval,33725,2023,Adelaide,Loss,14,-39,7,3
852,Richmond,4,Home,84,2023-04-08,Saturday,5,MCG,56449,2023,Western Bulldogs,Loss,12,-5,11,3
853,Western Bulldogs,4,Away,89,2023-04-08,Saturday,5,MCG,56449,2023,Richmond,Win,11,5,12,3
854,St Kilda,4,Home,113,2023-04-08,Saturday,8,Docklands,21049,2023,Gold Coast,Win,1,53,17,3
855,Gold Coast,4,Away,60,2023-04-08,Saturday,8,Docklands,21049,2023,St Kilda,Loss,17,-53,1,2
856,Sydney,4,Home,64,2023-04-08,Saturday,8,SCG,31686,2023,Port Adelaide,Loss,6,-2,10,4
857,Port Adelaide,4,Away,66,2023-04-08,Saturday,8,SCG,31686,2023,Sydney,Win,10,2,6,3
858,Essendon,4,Home,88,2023-04-09,Sunday,2,Docklands,28815,2023,Greater Western Sydney,Win,4,13,15,2
859,Greater Western Sydney,4,Away,75,2023-04-09,Sunday,2,Docklands,28815,2023,Essendon,Loss,15,-13,4,1
860,West Coast,4,Home,63,2023-04-09,Sunday,5,Perth Stadium,42458,2023,Melbourne,Loss,16,-63,3,1
861,Melbourne,4,Away,126,2023-04-09,Sunday,5,Perth Stadium,42458,2023,West Coast,Win,3,63,16,4
862,Geelong,4,Home,127,2023-04-10,Monday,3,MCG,65335,2023,Hawthorn,Win,13,82,18,2
863,Hawthorn,4,Away,45,2023-04-10,Monday,3,MCG,65335,2023,Geelong,Loss,18,-82,13,1
864,Adelaide,5,Home,118,2023-04-13,Thursday,8,Adelaide Oval,47395,2023,Carlton,Win,7,56,4,2
865,Carlton,5,Away,62,2023-04-13,Thursday,8,Adelaide Oval,47395,2023,Adelaide,Loss,4,-56,7,4
866,Fremantle,5,Home,100,2023-04-14,Friday,5,Norwood Oval,9329,2023,Gold Coast,Win,11,10,16,2
867,Gold Coast,5,Away,90,2023-04-14,Friday,5,Norwood Oval,9329,2023,Fremantle,Loss,16,-10,11,2
868,Richmond,5,Home,78,2023-04-14,Friday,8,Adelaide Oval,42134,2023,Sydney,Loss,15,-44,5,2
869,Sydney,5,Away,122,2023-04-14,Friday,8,Adelaide Oval,42134,2023,Richmond,Win,5,44,15,3
870,Brisbane Lions,5,Home,152,2023-04-15,Saturday,1,Adelaide Hills,7329,2023,North Melbourne,Win,8,75,13,2
871,North Melbourne,5,Away,77,2023-04-15,Saturday,1,Adelaide Hills,7329,2023,Brisbane Lions,Loss,13,-75,8,2
872,Essendon,5,Home,104,2023-04-15,Saturday,4,Adelaide Oval,45115,2023,Melbourne,Win,2,27,6,3
873,Melbourne,5,Away,77,2023-04-15,Saturday,4,Adelaide Oval,45115,2023,Essendon,Loss,6,-27,2,4
874,Port Adelaide,5,Home,70,2023-04-15,Saturday,8,Adelaide Oval,45115,2023,Western Bulldogs,Win,9,5,14,3
875,Western Bulldogs,5,Away,65,2023-04-15,Saturday,8,Adelaide Oval,45115,2023,Port Adelaide,Loss,14,-5,9,3
876,Geelong,5,Home,136,2023-04-16,Sunday,1,Adelaide Oval,43976,2023,West Coast,Win,10,47,17,2
877,West Coast,5,Away,89,2023-04-16,Sunday,1,Adelaide Oval,43976,2023,Geelong,Loss,17,-47,10,1
878,Hawthorn,5,Home,75,2023-04-16,Sunday,3,Norwood Oval,9057,2023,Greater Western Sydney,Loss,18,-2,12,1
879,Greater Western Sydney,5,Away,77,2023-04-16,Sunday,3,Norwood Oval,9057,2023,Hawthorn,Win,12,2,18,1
880,St Kilda,5,Home,64,2023-04-16,Sunday,5,Adelaide Oval,43976,2023,Collingwood,Loss,1,-6,3,4
881,Collingwood,5,Away,70,2023-04-16,Sunday,5,Adelaide Oval,43976,2023,St Kilda,Win,3,6,1,4
882,Fremantle,6,Home,69,2023-04-21,Friday,8,Perth Stadium,47503,2023,Western Bulldogs,Loss,13,-49,11,2
883,Western Bulldogs,6,Away,118,2023-04-21,Friday,8,Perth Stadium,47503,2023,Fremantle,Win,11,49,13,2
884,Port Adelaide,6,Home,109,2023-04-22,Saturday,2,Adelaide Oval,31638,2023,West Coast,Win,7,40,17,3
885,West Coast,6,Away,69,2023-04-22,Saturday,2,Adelaide Oval,31638,2023,Port Adelaide,Loss,17,-40,7,1
886,Greater Western Sydney,6,Home,87,2023-04-22,Saturday,5,Manuka Oval,10461,2023,Brisbane Lions,Loss,12,-21,6,2
887,Brisbane Lions,6,Away,108,2023-04-22,Saturday,5,Manuka Oval,10461,2023,Greater Western Sydney,Win,6,21,12,3
888,Geelong,6,Home,130,2023-04-22,Saturday,7,Kardinia Park,23134,2023,Sydney,Win,9,93,10,2
889,Sydney,6,Away,37,2023-04-22,Saturday,7,Kardinia Park,23134,2023,Geelong,Loss,10,-93,9,3
890,Hawthorn,6,Home,76,2023-04-23,Sunday,1,York Park,10119,2023,Adelaide,Loss,18,-3,5,1
891,Adelaide,6,Away,79,2023-04-23,Sunday,1,York Park,10119,2023,Hawthorn,Win,5,3,18,3
892,Carlton,6,Home,60,2023-04-23,Sunday,3,Docklands,45770,2023,St Kilda,Loss,8,-22,1,4
893,St Kilda,6,Away,82,2023-04-23,Sunday,3,Docklands,45770,2023,Carlton,Win,1,22,8,4
894,Gold Coast,6,Home,97,2023-04-23,Sunday,5,Carrara,9672,2023,North Melbourne,Win,14,43,15,1
895,North Melbourne,6,Away,54,2023-04-23,Sunday,5,Carrara,9672,2023,Gold Coast,Loss,15,-43,14,2
896,Melbourne,6,Home,96,2023-04-24,Monday,7,MCG,83985,2023,Richmond,Win,3,18,16,3
897,Richmond,6,Away,78,2023-04-24,Monday,7,MCG,83985,2023,Melbourne,Loss,16,-18,3,1
898,Collingwood,6,Home,90,2023-04-25,Tuesday,3,MCG,95179,2023,Essendon,Win,2,13,4,4
899,Essendon,6,Away,77,2023-04-25,Tuesday,3,MCG,95179,2023,Collingwood,Loss,4,-13,2,4
900,St Kilda,7,Home,76,2023-04-28,Friday,8,Docklands,25845,2023,Port Adelaide,Loss,3,-7,5,4
901,Port Adelaide,7,Away,83,2023-04-28,Friday,8,Docklands,25845,2023,St Kilda,Win,5,7,3,3
902,Brisbane Lions,7,Home,115,2023-04-29,Saturday,2,Gabba,25528,2023,Fremantle,Win,4,48,14,4
903,Fremantle,7,Away,67,2023-04-29,Saturday,2,Gabba,25528,2023,Brisbane Lions,Loss,14,-48,4,2
904,Sydney,7,Home,106,2023-04-29,Saturday,2,SCG,31615,2023,Greater Western Sydney,Loss,11,-1,12,2
905,Greater Western Sydney,7,Away,107,2023-04-29,Saturday,2,SCG,31615,2023,Sydney,Win,12,1,11,1
906,Western Bulldogs,7,Home,94,2023-04-29,Saturday,5,Docklands,40119,2023,Hawthorn,Win,10,29,17,3
907,Hawthorn,7,Away,65,2023-04-29,Saturday,5,Docklands,40119,2023,Western Bulldogs,Loss,17,-29,10,1
908,Melbourne,7,Home,139,2023-04-29,Saturday,7,MCG,29455,2023,North Melbourne,Win,2,90,15,3
909,North Melbourne,7,Away,49,2023-04-29,Saturday,7,MCG,29455,2023,Melbourne,Loss,15,-90,2,1
910,West Coast,7,Home,44,2023-04-29,Saturday,8,Perth Stadium,47940,2023,Carlton,Loss,18,-108,6,1
911,Carlton,7,Away,152,2023-04-29,Saturday,8,Perth Stadium,47940,2023,West Coast,Win,6,108,18,3
912,Essendon,7,Home,104,2023-04-30,Sunday,1,MCG,67457,2023,Geelong,Loss,9,-28,7,3
913,Geelong,7,Away,132,2023-04-30,Sunday,1,MCG,67457,2023,Essendon,Win,7,28,9,3
914,Richmond,7,Home,48,2023-04-30,Sunday,3,Docklands,23664,2023,Gold Coast,Loss,16,-24,13,1
915,Gold Coast,7,Away,72,2023-04-30,Sunday,3,Docklands,23664,2023,Richmond,Win,13,24,16,2
916,Adelaide,7,Home,58,2023-04-30,Sunday,5,Adelaide Oval,43942,2023,Collingwood,Loss,8,-1,1,4
917,Collingwood,7,Away,59,2023-04-30,Sunday,5,Adelaide Oval,43942,2023,Adelaide,Win,1,1,8,4
918,Carlton,8,Home,74,2023-05-05,Friday,8,Docklands,45548,2023,Brisbane Lions,Loss,8,-26,4,3
919,Brisbane Lions,8,Away,100,2023-05-05,Friday,8,Docklands,45548,2023,Carlton,Win,4,26,8,4
920,Richmond,8,Home,104,2023-05-06,Saturday,2,MCG,28293,2023,West Coast,Win,15,46,17,0
921,West Coast,8,Away,58,2023-05-06,Saturday,2,MCG,28293,2023,Richmond,Loss,17,-46,15,0
922,Geelong,8,Home,98,2023-05-06,Saturday,2,Kardinia Park,21415,2023,Adelaide,Win,6,26,10,4
923,Adelaide,8,Away,72,2023-05-06,Saturday,2,Kardinia Park,21415,2023,Geelong,Loss,10,-26,6,4
924,Gold Coast,8,Home,85,2023-05-06,Saturday,5,Carrara,11440,2023,Melbourne,Loss,14,-5,2,3
925,Melbourne,8,Away,90,2023-05-06,Saturday,5,Carrara,11440,2023,Gold Coast,Win,2,5,14,4
926,Greater Western Sydney,8,Home,71,2023-05-06,Saturday,8,Manuka Oval,10039,2023,Western Bulldogs,Loss,13,-15,7,2
927,Western Bulldogs,8,Away,86,2023-05-06,Saturday,8,Manuka Oval,10039,2023,Greater Western Sydney,Win,7,15,13,4
928,Fremantle,8,Home,117,2023-05-06,Saturday,8,Perth Stadium,37160,2023,Hawthorn,Win,12,69,18,2
929,Hawthorn,8,Away,48,2023-05-06,Saturday,8,Perth Stadium,37160,2023,Fremantle,Loss,18,-69,12,1
930,Port Adelaide,8,Home,92,2023-05-07,Sunday,1,Adelaide Oval,36247,2023,Essendon,Win,5,5,9,4
931,Essendon,8,Away,87,2023-05-07,Sunday,1,Adelaide Oval,36247,2023,Port Adelaide,Loss,9,-5,5,2
932,Collingwood,8,Home,77,2023-05-07,Sunday,3,MCG,71463,2023,Sydney,Win,1,29,11,4
933,Sydney,8,Away,48,2023-05-07,Sunday,3,MCG,71463,2023,Collingwood,Loss,11,-29,1,1
934,North Melbourne,8,Home,34,2023-05-07,Sunday,5,Docklands,22064,2023,St Kilda,Loss,16,-30,3,0
935,St Kilda,8,Away,64,2023-05-07,Sunday,5,Docklands,22064,2023,North Melbourne,Win,3,30,16,3
936,Richmond,9,Home,102,2023-05-12,Friday,7,MCG,58141,2023,Geelong,Win,13,24,7,1
937,Geelong,9,Away,78,2023-05-12,Friday,7,MCG,58141,2023,Richmond,Loss,7,-24,13,5
938,West Coast,9,Home,43,2023-05-12,Friday,9,Perth Stadium,36219,2023,Gold Coast,Loss,17,-70,11,0
939,Gold Coast,9,Away,113,2023-05-12,Friday,9,Perth Stadium,36219,2023,West Coast,Win,11,70,17,2
940,Sydney,9,Home,86,2023-05-13,Saturday,2,SCG,28927,2023,Fremantle,Loss,14,-17,12,1
941,Fremantle,9,Away,103,2023-05-13,Saturday,2,SCG,28927,2023,Sydney,Win,12,17,14,2
942,North Melbourne,9,Home,65,2023-05-13,Saturday,2,Bellerive Oval,6310,2023,Port Adelaide,Loss,16,-70,4,0
943,Port Adelaide,9,Away,135,2023-05-13,Saturday,2,Bellerive Oval,6310,2023,North Melbourne,Win,4,70,16,5
944,Hawthorn,9,Home,49,2023-05-13,Saturday,5,MCG,39818,2023,Melbourne,Loss,18,-54,2,0
945,Melbourne,9,Away,103,2023-05-13,Saturday,5,MCG,39818,2023,Hawthorn,Win,2,54,18,4
946,Brisbane Lions,9,Home,87,2023-05-13,Saturday,7,Gabba,31898,2023,Essendon,Win,3,42,10,5
947,Essendon,9,Away,45,2023-05-13,Saturday,7,Gabba,31898,2023,Brisbane Lions,Loss,10,-42,3,2
948,Carlton,9,Home,59,2023-05-13,Saturday,8,Docklands,42756,2023,Western Bulldogs,Loss,9,-20,6,2
949,Western Bulldogs,9,Away,79,2023-05-13,Saturday,8,Docklands,42756,2023,Carlton,Win,6,20,9,4
950,Adelaide,9,Home,121,2023-05-14,Sunday,1,Adelaide Oval,33805,2023,St Kilda,Win,8,52,5,3
951,St Kilda,9,Away,69,2023-05-14,Sunday,1,Adelaide Oval,33805,2023,Adelaide,Loss,5,-52,8,3
952,Collingwood,9,Home,120,2023-05-14,Sunday,5,MCG,37631,2023,Greater Western Sydney,Win,1,65,15,4
953,Greater Western Sydney,9,Away,55,2023-05-14,Sunday,5,MCG,37631,2023,Collingwood,Loss,15,-65,1,2
954,Port Adelaide,10,Home,80,2023-05-19,Friday,8,Adelaide Oval,37565,2023,Melbourne,Win,3,4,4,5
955,Melbourne,10,Away,76,2023-05-19,Friday,8,Adelaide Oval,37565,2023,Port Adelaide,Loss,4,-4,3,4
956,North Melbourne,10,Home,90,2023-05-20,Saturday,2,Docklands,21003,2023,Sydney,Loss,17,-3,12,0
957,Sydney,10,Away,93,2023-05-20,Saturday,2,Docklands,21003,2023,North Melbourne,Win,12,3,17,1
958,Western Bulldogs,10,Home,85,2023-05-20,Saturday,2,Eureka Stadium,10114,2023,Adelaide,Win,6,45,8,4
959,Adelaide,10,Away,40,2023-05-20,Saturday,2,Eureka Stadium,10114,2023,Western Bulldogs,Loss,8,-45,6,3
960,Fremantle,10,Home,106,2023-05-20,Saturday,5,Perth Stadium,45811,2023,Geelong,Win,10,29,7,3
961,Geelong,10,Away,77,2023-05-20,Saturday,5,Perth Stadium,45811,2023,Fremantle,Loss,7,-29,10,4
962,Brisbane Lions,10,Home,107,2023-05-20,Saturday,8,Gabba,23286,2023,Gold Coast,Win,2,43,13,5
963,Gold Coast,10,Away,64,2023-05-20,Saturday,8,Gabba,23286,2023,Brisbane Lions,Loss,13,-43,2,3
964,Essendon,10,Home,71,2023-05-20,Saturday,8,MCG,78300,2023,Richmond,Win,9,1,14,1
965,Richmond,10,Away,70,2023-05-20,Saturday,8,MCG,78300,2023,Essendon,Loss,14,-1,9,2
966,Hawthorn,10,Home,142,2023-05-21,Sunday,1,York Park,9135,2023,West Coast,Win,16,116,18,0
967,West Coast,10,Away,26,2023-05-21,Sunday,1,York Park,9135,2023,Hawthorn,Loss,18,-116,16,0
968,Carlton,10,Home,57,2023-05-21,Sunday,3,MCG,80354,2023,Collingwood,Loss,11,-28,1,1
969,Collingwood,10,Away,85,2023-05-21,Sunday,3,MCG,80354,2023,Carlton,Win,1,28,11,5
970,Greater Western Sydney,10,Home,80,2023-05-21,Sunday,5,Sydney Showground,7508,2023,St Kilda,Loss,15,-12,5,2
971,St Kilda,10,Away,92,2023-05-21,Sunday,5,Sydney Showground,7508,2023,Greater Western Sydney,Win,5,12,15,2
972,Sydney,11,Home,77,2023-05-26,Friday,8,SCG,36310,2023,Carlton,Win,11,26,13,1
973,Carlton,11,Away,51,2023-05-26,Friday,8,SCG,36310,2023,Sydney,Loss,13,-26,11,1
974,St Kilda,11,Home,78,2023-05-27,Saturday,2,Docklands,32022,2023,Hawthorn,Loss,5,-10,16,3
975,Hawthorn,11,Away,88,2023-05-27,Saturday,2,Docklands,32022,2023,St Kilda,Win,16,10,5,1
976,Melbourne,11,Home,72,2023-05-27,Saturday,2,MCG,29154,2023,Fremantle,Loss,4,-7,9,4
977,Fremantle,11,Away,79,2023-05-27,Saturday,2,MCG,29154,2023,Melbourne,Win,9,7,4,3
978,Geelong,11,Home,74,2023-05-27,Saturday,5,Kardinia Park,21349,2023,Greater Western Sydney,Loss,10,-7,14,3
979,Greater Western Sydney,11,Away,81,2023-05-27,Saturday,5,Kardinia Park,21349,2023,Geelong,Win,14,7,10,1
980,Gold Coast,11,Home,84,2023-05-27,Saturday,7,Marrara Oval,9316,2023,Western Bulldogs,Win,12,7,6,3
981,Western Bulldogs,11,Away,77,2023-05-27,Saturday,7,Marrara Oval,9316,2023,Gold Coast,Loss,6,-7,12,5
982,West Coast,11,Home,46,2023-05-27,Saturday,8,Perth Stadium,39269,2023,Essendon,Loss,18,-50,8,0
983,Essendon,11,Away,96,2023-05-27,Saturday,8,Perth Stadium,39269,2023,West Coast,Win,8,50,18,1
984,Richmond,11,Home,67,2023-05-28,Sunday,1,MCG,30357,2023,Port Adelaide,Loss,15,-10,2,2
985,Port Adelaide,11,Away,77,2023-05-28,Sunday,1,MCG,30357,2023,Richmond,Win,2,10,15,5
986,Collingwood,11,Home,105,2023-05-28,Sunday,3,Docklands,39467,2023,North Melbourne,Win,1,35,17,5
987,North Melbourne,11,Away,70,2023-05-28,Sunday,3,Docklands,39467,2023,Collingwood,Loss,17,-35,1,0
988,Adelaide,11,Home,95,2023-05-28,Sunday,5,Adelaide Oval,33188,2023,Brisbane Lions,Win,7,17,3,2
989,Brisbane Lions,11,Away,78,2023-05-28,Sunday,5,Adelaide Oval,33188,2023,Adelaide,Loss,3,-17,7,5
990,Melbourne,12,Home,61,2023-06-02,Friday,8,MCG,49872,2023,Carlton,Win,3,17,14,3
991,Carlton,12,Away,44,2023-06-02,Friday,8,MCG,49872,2023,Melbourne,Loss,14,-17,3,1
992,Port Adelaide,12,Home,151,2023-06-03,Saturday,2,Adelaide Oval,34234,2023,Hawthorn,Win,2,55,16,5
993,Hawthorn,12,Away,96,2023-06-03,Saturday,2,Adelaide Oval,34234,2023,Port Adelaide,Loss,16,-55,2,2
994,West Coast,12,Home,57,2023-06-03,Saturday,5,Perth Stadium,41713,2023,Collingwood,Loss,18,-63,1,0
995,Collingwood,12,Away,120,2023-06-03,Saturday,5,Perth Stadium,41713,2023,West Coast,Win,1,63,18,5
996,Western Bulldogs,12,Home,75,2023-06-03,Saturday,7,Docklands,41944,2023,Geelong,Loss,7,-22,8,4
997,Geelong,12,Away,97,2023-06-03,Saturday,7,Docklands,41944,2023,Western Bulldogs,Win,8,22,7,2
998,Gold Coast,12,Home,112,2023-06-03,Saturday,8,Marrara Oval,10772,2023,Adelaide,Win,11,25,9,3
999,Adelaide,12,Away,87,2023-06-03,Saturday,8,Marrara Oval,10772,2023,Gold Coast,Loss,9,-25,11,2
1000,Greater Western Sydney,12,Home,104,2023-06-04,Sunday,1,Sydney Showground,9723,2023,Richmond,Loss,15,-6,13,2
1001,Richmond,12,Away,110,2023-06-04,Sunday,1,Sydney Showground,9723,2023,Greater Western Sydney,Win,13,6,15,2
1002,Essendon,12,Home,105,2023-06-04,Sunday,5,Docklands,40488,2023,North Melbourne,Win,6,6,17,2
1003,North Melbourne,12,Away,99,2023-06-04,Sunday,5,Docklands,40488,2023,Essendon,Loss,17,-6,6,0
1004,Sydney,13,Home,66,2023-06-08,Thursday,7,SCG,30123,2023,St Kilda,Loss,13,-14,5,2
1005,St Kilda,13,Away,80,2023-06-08,Thursday,7,SCG,30123,2023,Sydney,Win,5,14,13,2
1006,Western Bulldogs,13,Home,85,2023-06-09,Friday,8,Docklands,23110,2023,Port Adelaide,Loss,8,-22,2,3
1007,Port Adelaide,13,Away,107,2023-06-09,Friday,8,Docklands,23110,2023,Western Bulldogs,Win,2,22,8,5
1008,Hawthorn,13,Home,98,2023-06-10,Saturday,2,MCG,35869,2023,Brisbane Lions,Win,16,25,4,2
1009,Brisbane Lions,13,Away,73,2023-06-10,Saturday,2,MCG,35869,2023,Hawthorn,Loss,4,-25,16,4
1010,Adelaide,13,Home,174,2023-06-10,Saturday,5,Adelaide Oval,39450,2023,West Coast,Win,7,122,18,2
1011,West Coast,13,Away,52,2023-06-10,Saturday,5,Adelaide Oval,39450,2023,Adelaide,Loss,18,-122,7,0
1012,Fremantle,13,Home,70,2023-06-10,Saturday,7,Perth Stadium,46843,2023,Richmond,Loss,10,-15,12,4
1013,Richmond,13,Away,85,2023-06-10,Saturday,7,Perth Stadium,46843,2023,Fremantle,Win,12,15,10,3
1014,North Melbourne,13,Home,75,2023-06-11,Sunday,3,Bellerive Oval,5025,2023,Greater Western Sydney,Loss,17,-28,14,0
1015,Greater Western Sydney,13,Away,103,2023-06-11,Sunday,3,Bellerive Oval,5025,2023,North Melbourne,Win,14,28,17,1
1016,Carlton,13,Home,52,2023-06-11,Sunday,7,MCG,83638,2023,Essendon,Loss,15,-34,6,0
1017,Essendon,13,Away,86,2023-06-11,Sunday,7,MCG,83638,2023,Carlton,Win,6,34,15,3
1018,Melbourne,13,Home,66,2023-06-12,Monday,3,MCG,83578,2023,Collingwood,Win,3,4,1,3
1019,Collingwood,13,Away,62,2023-06-12,Monday,3,MCG,83578,2023,Melbourne,Loss,1,-4,3,5
1020,Port Adelaide,14,Home,110,2023-06-15,Thursday,8,Adelaide Oval,36316,2023,Geelong,Win,1,38,10,5
1021,Geelong,14,Away,72,2023-06-15,Thursday,8,Adelaide Oval,36316,2023,Port Adelaide,Loss,10,-38,1,2
1022,Brisbane Lions,14,Home,97,2023-06-16,Friday,8,Gabba,28561,2023,Sydney,Win,4,16,15,3
1023,Sydney,14,Away,81,2023-06-16,Friday,8,Gabba,28561,2023,Brisbane Lions,Loss,15,-16,4,2
1024,Greater Western Sydney,14,Home,106,2023-06-17,Saturday,5,Sydney Showground,8633,2023,Fremantle,Win,11,70,13,2
1025,Fremantle,14,Away,36,2023-06-17,Saturday,5,Sydney Showground,8633,2023,Greater Western Sydney,Loss,13,-70,11,4
1026,Richmond,14,Home,90,2023-06-17,Saturday,7,MCG,62686,2023,St Kilda,Win,9,20,5,3
1027,St Kilda,14,Away,70,2023-06-17,Saturday,7,MCG,62686,2023,Richmond,Loss,5,-20,9,3
1028,Carlton,14,Home,120,2023-06-18,Sunday,1,MCG,29602,2023,Gold Coast,Win,14,59,12,0
1029,Gold Coast,14,Away,61,2023-06-18,Sunday,1,MCG,29602,2023,Carlton,Loss,12,-59,14,3
1030,North Melbourne,14,Home,84,2023-06-18,Sunday,5,Docklands,23829,2023,Western Bulldogs,Loss,17,-21,7,0
1031,Western Bulldogs,14,Away,105,2023-06-18,Sunday,5,Docklands,23829,2023,North Melbourne,Win,7,21,17,2
1032,Geelong,15,Home,78,2023-06-22,Thursday,7,Kardinia Park,19617,2023,Melbourne,Win,9,15,4,1
1033,Melbourne,15,Away,63,2023-06-22,Thursday,7,Kardinia Park,19617,2023,Geelong,Loss,4,-15,9,3
1034,St Kilda,15,Home,56,2023-06-23,Friday,8,Docklands,28985,2023,Brisbane Lions,Loss,5,-28,3,2
1035,Brisbane Lions,15,Away,84,2023-06-23,Friday,8,Docklands,28985,2023,St Kilda,Win,3,28,5,3
1036,Sydney,15,Home,205,2023-06-24,Saturday,5,SCG,31367,2023,West Coast,Win,13,171,18,2
1037,West Coast,15,Away,34,2023-06-24,Saturday,5,SCG,31367,2023,Sydney,Loss,18,-171,13,0
1038,Fremantle,15,Home,93,2023-06-24,Saturday,7,Perth Stadium,43063,2023,Essendon,Win,11,32,6,3
1039,Essendon,15,Away,61,2023-06-24,Saturday,7,Perth Stadium,43063,2023,Fremantle,Loss,6,-32,11,4
1040,Collingwood,15,Home,82,2023-06-25,Sunday,1,MCG,65930,2023,Adelaide,Win,1,2,8,4
1041,Adelaide,15,Away,80,2023-06-25,Sunday,1,MCG,65930,2023,Collingwood,Loss,8,-2,1,3
1042,Gold Coast,15,Home,101,2023-06-25,Sunday,5,Carrara,14242,2023,Hawthorn,Win,10,67,16,3
1043,Hawthorn,15,Away,34,2023-06-25,Sunday,5,Carrara,14242,2023,Gold Coast,Loss,16,-67,10,3
1044,Brisbane Lions,16,Home,134,2023-06-29,Thursday,7,Gabba,30022,2023,Richmond,Win,3,81,15,3
1045,Richmond,16,Away,53,2023-06-29,Thursday,7,Gabba,30022,2023,Brisbane Lions,Loss,15,-81,3,3
1046,Essendon,16,Home,74,2023-07-01,Saturday,7,MCG,38957,2023,Port Adelaide,Loss,8,-4,2,4
1047,Port Adelaide,16,Away,78,2023-07-01,Saturday,7,MCG,38957,2023,Essendon,Win,2,4,8,5
1048,Gold Coast,16,Home,42,2023-07-01,Saturday,5,Carrara,22483,2023,Collingwood,Loss,12,-78,1,3
1049,Collingwood,16,Away,120,2023-07-01,Saturday,5,Carrara,22483,2023,Gold Coast,Win,1,78,12,4
1050,Hawthorn,16,Home,52,2023-07-02,Sunday,1,MCG,66337,2023,Carlton,Loss,16,-60,14,3
1051,Carlton,16,Away,112,2023-07-02,Sunday,1,MCG,66337,2023,Hawthorn,Win,14,60,16,1
1052,Sydney,16,Home,54,2023-07-02,Sunday,8,SCG,32098,2023,Geelong,Loss,13,0,9,3
1053,Geelong,16,Away,54,2023-07-02,Sunday,8,SCG,32098,2023,Sydney,Win,9,0,13,2
1054,Western Bulldogs,16,Home,102,2023-07-01,Saturday,2,Docklands,25412,2023,Fremantle,Win,6,29,11,2
1055,Fremantle,16,Away,73,2023-07-01,Saturday,2,Docklands,25412,2023,Western Bulldogs,Loss,11,-29,6,3
1056,Adelaide,16,Home,138,2023-07-01,Saturday,2,Adelaide Oval,35226,2023,North Melbourne,Win,7,66,17,2
1057,North Melbourne,16,Away,72,2023-07-01,Saturday,2,Adelaide Oval,35226,2023,Adelaide,Loss,17,-66,7,0
1058,Melbourne,16,Home,45,2023-07-02,Sunday,3,Traeger Park,3413,2023,Greater Western Sydney,Loss,4,-2,10,2
1059,Greater Western Sydney,16,Away,47,2023-07-02,Sunday,3,Traeger Park,3413,2023,Melbourne,Win,10,2,4,3
1060,West Coast,16,Home,77,2023-07-02,Sunday,5,Perth Stadium,35579,2023,St Kilda,Loss,18,-8,5,0
1061,St Kilda,16,Away,85,2023-07-02,Sunday,5,Perth Stadium,35579,2023,West Coast,Win,5,8,18,2
1062,Brisbane Lions,17,Home,116,2023-07-08,Saturday,2,Gabba,24843,2023,West Coast,Win,3,81,18,3
1063,West Coast,17,Away,35,2023-07-08,Saturday,2,Gabba,24843,2023,Brisbane Lions,Loss,18,-81,3,0
