,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition
0,Melbourne,1,Home,97,2022-03-16,Wednesday,7.0,MCG,58002,2022,Western Bulldogs,Win,2
1,Western Bulldogs,1,Away,71,2022-03-16,Wednesday,7.0,MCG,58002,2022,Melbourne,Loss,17
2,Carlton,1,Home,101,2022-03-17,Thursday,7.0,MCG,72179,2022,Richmond,Win,5
3,Richmond,1,Away,76,2022-03-17,Thursday,7.0,MCG,72179,2022,Carlton,Loss,14
4,St Kilda,1,Home,85,2022-03-18,Friday,8.0,Docklands,40129,2022,Collingwood,Loss,12
5,Collingwood,1,Away,102,2022-03-18,Friday,8.0,Docklands,40129,2022,St Kilda,Win,7
6,Geelong,1,Home,138,2022-03-19,Saturday,2.0,MCG,54495,2022,Essendon,Win,1
7,Essendon,1,Away,72,2022-03-19,Saturday,2.0,MCG,54495,2022,Geelong,Loss,18
8,Greater Western Sydney,1,Home,92,2022-03-19,Saturday,5.0,Stadium Australia,25572,2022,Sydney,Loss,13
9,Sydney,1,Away,112,2022-03-19,Saturday,5.0,Stadium Australia,25572,2022,Greater Western Sydney,Win,6
10,Brisbane Lions,1,Home,80,2022-03-19,Saturday,7.0,Gabba,25100,2022,Port Adelaide,Win,8
11,Port Adelaide,1,Away,69,2022-03-19,Saturday,7.0,Gabba,25100,2022,Brisbane Lions,Loss,11
12,Hawthorn,1,Home,78,2022-03-20,Sunday,1.0,MCG,38297,2022,North Melbourne,Win,3
13,North Melbourne,1,Away,58,2022-03-20,Sunday,1.0,MCG,38297,2022,Hawthorn,Loss,16
14,Adelaide,1,Home,82,2022-03-20,Sunday,4.0,Adelaide Oval,28186,2022,Fremantle,Loss,10
15,Fremantle,1,Away,83,2022-03-20,Sunday,4.0,Adelaide Oval,28186,2022,Adelaide,Win,9
16,West Coast,1,Home,80,2022-03-20,Sunday,5.0,Perth Stadium,20932,2022,Gold Coast,Loss,15
17,Gold Coast,1,Away,107,2022-03-20,Sunday,5.0,Perth Stadium,20932,2022,West Coast,Win,4
18,Western Bulldogs,2,Home,90,2022-03-24,Thursday,7.0,Docklands,34961,2022,Carlton,Loss,13
19,Carlton,2,Away,102,2022-03-24,Thursday,7.0,Docklands,34961,2022,Western Bulldogs,Win,6
20,Sydney,2,Home,107,2022-03-25,Friday,8.0,SCG,36578,2022,Geelong,Win,3
21,Geelong,2,Away,77,2022-03-25,Friday,8.0,SCG,36578,2022,Sydney,Loss,7
22,Collingwood,2,Home,100,2022-03-26,Saturday,2.0,MCG,36843,2022,Adelaide,Win,2
23,Adelaide,2,Away,58,2022-03-26,Saturday,2.0,MCG,36843,2022,Collingwood,Loss,15
24,Essendon,2,Home,75,2022-03-26,Saturday,5.0,Docklands,30631,2022,Brisbane Lions,Loss,17
25,Brisbane Lions,2,Away,97,2022-03-26,Saturday,5.0,Docklands,30631,2022,Essendon,Win,5
26,Port Adelaide,2,Home,56,2022-03-26,Saturday,7.0,Adelaide Oval,30267,2022,Hawthorn,Loss,18
27,Hawthorn,2,Away,120,2022-03-26,Saturday,7.0,Adelaide Oval,30267,2022,Port Adelaide,Win,1
28,Gold Coast,2,Home,69,2022-03-26,Saturday,7.0,Carrara,8280,2022,Melbourne,Loss,8
29,Melbourne,2,Away,82,2022-03-26,Saturday,7.0,Carrara,8280,2022,Gold Coast,Win,4
30,North Melbourne,2,Home,74,2022-03-27,Sunday,1.0,Docklands,14204,2022,West Coast,Win,10
31,West Coast,2,Away,59,2022-03-27,Sunday,1.0,Docklands,14204,2022,North Melbourne,Loss,14
32,Richmond,2,Home,109,2022-03-27,Sunday,3.0,MCG,28813,2022,Greater Western Sydney,Win,9
33,Greater Western Sydney,2,Away,73,2022-03-27,Sunday,3.0,MCG,28813,2022,Richmond,Loss,16
34,Fremantle,2,Home,55,2022-03-27,Sunday,3.0,Perth Stadium,25284,2022,St Kilda,Loss,12
35,Fremantle,2,Home,55,2022-03-27,Sunday,3.0,Perth Stadium,25284,2022,St Kilda,Loss,12
36,Fremantle,2,Home,55,2022-03-27,Sunday,3.0,Perth Stadium,25284,2022,St Kilda,Loss,12
37,Fremantle,2,Home,55,2022-03-27,Sunday,3.0,Perth Stadium,25284,2022,St Kilda,Loss,12
38,St Kilda,2,Away,65,2022-03-27,Sunday,3.0,Perth Stadium,25284,2022,Fremantle,Win,11
39,Western Bulldogs,3,Home,71,2022-03-31,Thursday,7.0,Docklands,24327,2022,Sydney,Win,12
40,Sydney,3,Away,60,2022-03-31,Thursday,7.0,Docklands,24327,2022,Western Bulldogs,Loss,8
41,Melbourne,3,Home,99,2022-04-01,Friday,7.0,MCG,44503,2022,Essendon,Win,2
42,Essendon,3,Away,70,2022-04-01,Friday,7.0,MCG,44503,2022,Melbourne,Loss,18
43,Adelaide,3,Home,96,2022-04-01,Friday,8.0,Adelaide Oval,39190,2022,Port Adelaide,Win,14
44,Port Adelaide,3,Away,92,2022-04-01,Friday,8.0,Adelaide Oval,39190,2022,Adelaide,Loss,16
45,Greater Western Sydney,3,Home,83,2022-04-02,Saturday,5.0,Sydney Showground,4014,2022,Gold Coast,Win,13
46,Gold Coast,3,Away,57,2022-04-02,Saturday,5.0,Sydney Showground,4014,2022,Greater Western Sydney,Loss,10
47,Collingwood,3,Home,91,2022-04-02,Saturday,7.0,MCG,52974,2022,Geelong,Loss,6
48,Geelong,3,Away,104,2022-04-02,Saturday,7.0,MCG,52974,2022,Collingwood,Win,7
49,Brisbane Lions,3,Home,156,2022-04-02,Saturday,7.0,Gabba,19817,2022,North Melbourne,Win,1
50,North Melbourne,3,Away,48,2022-04-02,Saturday,7.0,Gabba,19817,2022,Brisbane Lions,Loss,15
51,Carlton,3,Home,74,2022-04-03,Sunday,1.0,MCG,66317,2022,Hawthorn,Win,3
52,Hawthorn,3,Away,73,2022-04-03,Sunday,1.0,MCG,66317,2022,Carlton,Loss,4
53,St Kilda,3,Home,117,2022-04-03,Sunday,3.0,Docklands,31933,2022,Richmond,Win,9
54,Richmond,3,Away,84,2022-04-03,Sunday,3.0,Docklands,31933,2022,St Kilda,Loss,11
55,West Coast,3,Home,47,2022-04-03,Sunday,4.0,Perth Stadium,38920,2022,Fremantle,Loss,17
56,Fremantle,3,Away,102,2022-04-03,Sunday,4.0,Perth Stadium,38920,2022,West Coast,Win,5
57,Port Adelaide,4,Home,36,2022-04-07,Thursday,7.0,Adelaide Oval,23058,2022,Melbourne,Loss,18
58,Melbourne,4,Away,68,2022-04-07,Thursday,7.0,Adelaide Oval,23058,2022,Port Adelaide,Win,1
59,Geelong,4,Home,80,2022-04-08,Friday,8.0,Kardinia Park,20505,2022,Brisbane Lions,Win,5
60,Brisbane Lions,4,Away,70,2022-04-08,Friday,8.0,Kardinia Park,20505,2022,Geelong,Loss,2
61,Sydney,4,Home,86,2022-04-09,Saturday,3.0,SCG,22307,2022,North Melbourne,Win,6
62,Sydney,4,Home,86,2022-04-09,Saturday,3.0,SCG,22307,2022,North Melbourne,Win,6
63,Sydney,4,Home,86,2022-04-09,Saturday,3.0,SCG,22307,2022,North Melbourne,Win,6
64,Sydney,4,Home,86,2022-04-09,Saturday,3.0,SCG,22307,2022,North Melbourne,Win,6
65,North Melbourne,4,Away,75,2022-04-09,Saturday,3.0,SCG,22307,2022,Sydney,Loss,17
66,Collingwood,4,Home,74,2022-04-09,Saturday,5.0,Docklands,25897,2022,West Coast,Loss,8
67,West Coast,4,Away,87,2022-04-09,Saturday,5.0,Docklands,25897,2022,Collingwood,Win,15
68,Fremantle,4,Home,88,2022-04-09,Saturday,5.0,Perth Stadium,30201,2022,Greater Western Sydney,Win,3
69,Greater Western Sydney,4,Away,54,2022-04-09,Saturday,5.0,Perth Stadium,30201,2022,Fremantle,Loss,13
70,Richmond,4,Home,99,2022-04-09,Saturday,7.0,MCG,43645,2022,Western Bulldogs,Win,10
71,Western Bulldogs,4,Away,61,2022-04-09,Saturday,7.0,MCG,43645,2022,Richmond,Loss,14
72,Essendon,4,Home,103,2022-04-10,Sunday,1.0,Docklands,24906,2022,Adelaide,Win,16
73,Adelaide,4,Away,99,2022-04-10,Sunday,1.0,Docklands,24906,2022,Essendon,Loss,12
74,Hawthorn,4,Home,73,2022-04-10,Sunday,3.0,MCG,30926,2022,St Kilda,Loss,11
75,St Kilda,4,Away,142,2022-04-10,Sunday,3.0,MCG,30926,2022,Hawthorn,Win,4
76,Gold Coast,4,Home,92,2022-04-10,Sunday,4.0,Carrara,14349,2022,Carlton,Win,9
77,Carlton,4,Away,62,2022-04-10,Sunday,4.0,Carrara,14349,2022,Gold Coast,Loss,7
78,Brisbane Lions,5,Home,98,2022-04-14,Thursday,8.0,Gabba,32312,2022,Collingwood,Win,3
79,Collingwood,5,Away,91,2022-04-14,Thursday,8.0,Gabba,32312,2022,Brisbane Lions,Loss,9
80,North Melbourne,5,Home,71,2022-04-15,Friday,4.0,Docklands,32162,2022,Western Bulldogs,Loss,17
81,Western Bulldogs,5,Away,139,2022-04-15,Friday,4.0,Docklands,32162,2022,North Melbourne,Win,10
82,West Coast,5,Home,58,2022-04-15,Friday,6.0,Perth Stadium,42888,2022,Sydney,Loss,16
83,Sydney,5,Away,121,2022-04-15,Friday,6.0,Perth Stadium,42888,2022,West Coast,Win,5
84,St Kilda,5,Home,87,2022-04-16,Saturday,2.0,Docklands,18724,2022,Gold Coast,Win,4
85,Gold Coast,5,Away,61,2022-04-16,Saturday,2.0,Docklands,18724,2022,St Kilda,Loss,12
86,Adelaide,5,Home,101,2022-04-16,Saturday,4.0,Adelaide Oval,33031,2022,Richmond,Win,13
87,Richmond,5,Away,82,2022-04-16,Saturday,4.0,Adelaide Oval,33031,2022,Adelaide,Loss,11
88,Melbourne,5,Home,120,2022-04-16,Saturday,7.0,MCG,20791,2022,Greater Western Sydney,Win,1
89,Greater Western Sydney,5,Away,53,2022-04-16,Saturday,7.0,MCG,20791,2022,Melbourne,Loss,14
90,Carlton,5,Home,94,2022-04-17,Sunday,2.0,MCG,33433,2022,Port Adelaide,Win,6
91,Port Adelaide,5,Away,91,2022-04-17,Sunday,2.0,MCG,33433,2022,Carlton,Loss,18
92,Essendon,5,Home,59,2022-04-17,Sunday,5.0,Docklands,23935,2022,Fremantle,Loss,15
93,Fremantle,5,Away,107,2022-04-17,Sunday,5.0,Docklands,23935,2022,Essendon,Win,2
94,Hawthorn,5,Home,92,2022-04-18,Monday,3.0,MCG,48030,2022,Geelong,Win,8
95,Geelong,5,Away,80,2022-04-18,Monday,3.0,MCG,48030,2022,Hawthorn,Loss,7
96,Greater Western Sydney,6,Home,60,2022-04-22,Friday,8.0,Manuka Oval,11207,2022,St Kilda,Loss,15
97,St Kilda,6,Away,77,2022-04-22,Friday,8.0,Manuka Oval,11207,2022,Greater Western Sydney,Win,5
98,Western Bulldogs,6,Home,62,2022-04-23,Saturday,2.0,Eureka Stadium,10412,2022,Adelaide,Loss,11
99,Adelaide,6,Away,63,2022-04-23,Saturday,2.0,Eureka Stadium,10412,2022,Western Bulldogs,Win,10
100,Port Adelaide,6,Home,117,2022-04-23,Saturday,4.0,Adelaide Oval,28587,2022,West Coast,Win,14
101,West Coast,6,Away,33,2022-04-23,Saturday,4.0,Adelaide Oval,28587,2022,Port Adelaide,Loss,17
102,Fremantle,6,Home,97,2022-04-23,Saturday,6.0,Perth Stadium,42302,2022,Carlton,Win,2
103,Carlton,6,Away,62,2022-04-23,Saturday,6.0,Perth Stadium,42302,2022,Fremantle,Loss,7
104,North Melbourne,6,Home,61,2022-04-24,Sunday,1.0,Bellerive Oval,8663,2022,Geelong,Loss,18
105,Geelong,6,Away,121,2022-04-24,Sunday,1.0,Bellerive Oval,8663,2022,North Melbourne,Win,6
106,Gold Coast,6,Home,80,2022-04-24,Sunday,4.0,Carrara,14987,2022,Brisbane Lions,Loss,13
107,Brisbane Lions,6,Away,132,2022-04-24,Sunday,4.0,Carrara,14987,2022,Gold Coast,Win,3
108,Richmond,6,Home,54,2022-04-24,Sunday,7.0,MCG,70334,2022,Melbourne,Loss,12
109,Melbourne,6,Away,76,2022-04-24,Sunday,7.0,MCG,70334,2022,Richmond,Win,1
110,Hawthorn,6,Home,68,2022-04-25,Monday,0.0,York Park,14107,2022,Sydney,Loss,9
111,Sydney,6,Away,109,2022-04-25,Monday,0.0,York Park,14107,2022,Hawthorn,Win,4
112,Essendon,6,Home,82,2022-04-25,Monday,3.0,MCG,84205,2022,Collingwood,Loss,16
113,Collingwood,6,Away,93,2022-04-25,Monday,3.0,MCG,84205,2022,Essendon,Win,8
114,West Coast,7,Home,56,2022-04-29,Friday,6.0,Perth Stadium,39430,2022,Richmond,Loss,18
115,Richmond,7,Away,165,2022-04-29,Friday,6.0,Perth Stadium,39430,2022,West Coast,Win,9
116,Geelong,7,Home,66,2022-04-30,Saturday,2.0,Kardinia Park,20136,2022,Fremantle,Loss,7
117,Fremantle,7,Away,69,2022-04-30,Saturday,2.0,Kardinia Park,20136,2022,Geelong,Win,3
118,Adelaide,7,Home,54,2022-04-30,Saturday,2.0,Adelaide Oval,31811,2022,Greater Western Sydney,Loss,12
119,Greater Western Sydney,7,Away,113,2022-04-30,Saturday,2.0,Adelaide Oval,31811,2022,Adelaide,Win,15
120,Melbourne,7,Home,91,2022-04-30,Saturday,5.0,MCG,39425,2022,Hawthorn,Win,1
121,Hawthorn,7,Away,81,2022-04-30,Saturday,5.0,MCG,39425,2022,Melbourne,Loss,11
122,Carlton,7,Home,114,2022-04-30,Saturday,7.0,Docklands,40129,2022,North Melbourne,Win,6
123,North Melbourne,7,Away,64,2022-04-30,Saturday,7.0,Docklands,40129,2022,Carlton,Loss,17
124,St Kilda,7,Home,42,2022-04-30,Saturday,7.0,Cazaly's Stadium,6645,2022,Port Adelaide,Loss,4
125,Port Adelaide,7,Away,43,2022-04-30,Saturday,7.0,Cazaly's Stadium,6645,2022,St Kilda,Win,13
126,Collingwood,7,Home,115,2022-05-01,Sunday,1.0,MCG,28916,2022,Gold Coast,Win,8
127,Gold Coast,7,Away,90,2022-05-01,Sunday,1.0,MCG,28916,2022,Collingwood,Loss,14
128,Western Bulldogs,7,Home,103,2022-05-01,Sunday,3.0,Docklands,33677,2022,Essendon,Win,10
129,Essendon,7,Away,71,2022-05-01,Sunday,3.0,Docklands,33677,2022,Western Bulldogs,Loss,16
130,Sydney,7,Home,89,2022-05-01,Sunday,5.0,SCG,30110,2022,Brisbane Lions,Loss,5
131,Brisbane Lions,7,Away,113,2022-05-01,Sunday,5.0,SCG,30110,2022,Sydney,Win,2
132,Port Adelaide,8,Home,86,2022-05-06,Friday,7.0,Adelaide Oval,29290,2022,Western Bulldogs,Win,11
133,Western Bulldogs,8,Away,69,2022-05-06,Friday,7.0,Adelaide Oval,29290,2022,Port Adelaide,Loss,10
134,Fremantle,8,Home,102,2022-05-06,Friday,7.0,Perth Stadium,37040,2022,North Melbourne,Win,2
135,North Melbourne,8,Away,24,2022-05-06,Friday,7.0,Perth Stadium,37040,2022,Fremantle,Loss,17
136,Richmond,8,Home,113,2022-05-07,Saturday,2.0,MCG,64481,2022,Collingwood,Win,8
137,Collingwood,8,Away,86,2022-05-07,Saturday,2.0,MCG,64481,2022,Richmond,Loss,9
138,Sydney,8,Home,61,2022-05-07,Saturday,2.0,MCG,20420,2022,Gold Coast,Loss,6
139,Gold Coast,8,Away,75,2022-05-07,Saturday,2.0,MCG,20420,2022,Sydney,Win,13
140,Greater Western Sydney,8,Home,35,2022-05-07,Saturday,5.0,Manuka Oval,11661,2022,Geelong,Loss,15
141,Geelong,8,Away,88,2022-05-07,Saturday,5.0,Manuka Oval,11661,2022,Greater Western Sydney,Win,5
142,Essendon,8,Home,108,2022-05-07,Saturday,7.0,Docklands,33042,2022,Hawthorn,Win,16
143,Hawthorn,8,Away,81,2022-05-07,Saturday,7.0,Docklands,33042,2022,Essendon,Loss,12
144,Brisbane Lions,8,Home,105,2022-05-07,Saturday,7.0,Gabba,19331,2022,West Coast,Win,3
145,West Coast,8,Away,30,2022-05-07,Saturday,7.0,Gabba,19331,2022,Brisbane Lions,Loss,18
146,Melbourne,8,Home,93,2022-05-08,Sunday,1.0,MCG,35767,2022,St Kilda,Win,1
147,St Kilda,8,Away,55,2022-05-08,Sunday,1.0,MCG,35767,2022,Melbourne,Loss,7
148,Carlton,8,Home,116,2022-05-08,Sunday,5.0,Docklands,25376,2022,Adelaide,Win,4
149,Adelaide,8,Away,68,2022-05-08,Sunday,5.0,Docklands,25376,2022,Carlton,Loss,14
150,Collingwood,9,Home,51,2022-05-13,Friday,8.0,Docklands,44029,2022,Western Bulldogs,Loss,11
151,Western Bulldogs,9,Away,99,2022-05-13,Friday,8.0,Docklands,44029,2022,Collingwood,Win,9
152,Hawthorn,9,Home,94,2022-05-14,Saturday,2.0,MCG,40663,2022,Richmond,Loss,13
153,Richmond,9,Away,117,2022-05-14,Saturday,2.0,MCG,40663,2022,Hawthorn,Win,8
154,North Melbourne,9,Home,46,2022-05-14,Saturday,2.0,Bellerive Oval,5114,2022,Port Adelaide,Loss,17
155,Port Adelaide,9,Away,115,2022-05-14,Saturday,2.0,Bellerive Oval,5114,2022,North Melbourne,Win,10
156,St Kilda,9,Home,90,2022-05-14,Saturday,5.0,Docklands,32517,2022,Geelong,Win,6
157,Geelong,9,Away,80,2022-05-14,Saturday,5.0,Docklands,32517,2022,St Kilda,Loss,7
158,Sydney,9,Home,105,2022-05-14,Saturday,7.0,SCG,27464,2022,Essendon,Win,5
159,Essendon,9,Away,47,2022-05-14,Saturday,7.0,SCG,27464,2022,Sydney,Loss,16
160,Adelaide,9,Home,66,2022-05-14,Saturday,7.0,Adelaide Oval,36579,2022,Brisbane Lions,Loss,14
161,Brisbane Lions,9,Away,102,2022-05-14,Saturday,7.0,Adelaide Oval,36579,2022,Adelaide,Win,2
162,Gold Coast,9,Home,69,2022-05-15,Sunday,2.0,Carrara,6136,2022,Fremantle,Win,12
163,Fremantle,9,Away,33,2022-05-15,Sunday,2.0,Carrara,6136,2022,Gold Coast,Loss,3
164,Greater Western Sydney,9,Home,75,2022-05-15,Sunday,3.0,Sydney Showground,8754,2022,Carlton,Loss,15
165,Carlton,9,Away,105,2022-05-15,Sunday,3.0,Sydney Showground,8754,2022,Greater Western Sydney,Win,4
166,West Coast,9,Home,38,2022-05-15,Sunday,3.0,Perth Stadium,27488,2022,Melbourne,Loss,18
167,Melbourne,9,Away,112,2022-05-15,Sunday,3.0,Perth Stadium,27488,2022,West Coast,Win,1
168,Carlton,10,Home,102,2022-05-20,Friday,8.0,Docklands,44769,2022,Sydney,Win,3
169,Sydney,10,Away,87,2022-05-20,Friday,8.0,Docklands,44769,2022,Carlton,Loss,7
170,Western Bulldogs,10,Home,106,2022-05-21,Saturday,2.0,Eureka Stadium,6040,2022,Gold Coast,Win,9
171,Gold Coast,10,Away,87,2022-05-21,Saturday,2.0,Eureka Stadium,6040,2022,Western Bulldogs,Loss,12
172,Geelong,10,Home,82,2022-05-21,Saturday,2.0,Kardinia Park,18721,2022,Port Adelaide,Win,6
173,Port Adelaide,10,Away,47,2022-05-21,Saturday,2.0,Kardinia Park,18721,2022,Geelong,Loss,11
174,North Melbourne,10,Home,53,2022-05-21,Saturday,5.0,Docklands,13422,2022,Melbourne,Loss,17
175,Melbourne,10,Away,100,2022-05-21,Saturday,5.0,Docklands,13422,2022,North Melbourne,Win,1
176,Adelaide,10,Home,69,2022-05-21,Saturday,7.0,Adelaide Oval,28783,2022,St Kilda,Loss,15
177,St Kilda,10,Away,90,2022-05-21,Saturday,7.0,Adelaide Oval,28783,2022,Adelaide,Win,5
178,Richmond,10,Home,80,2022-05-21,Saturday,8.0,MCG,70226,2022,Essendon,Win,8
179,Essendon,10,Away,48,2022-05-21,Saturday,8.0,MCG,70226,2022,Richmond,Loss,16
180,Greater Western Sydney,10,Home,138,2022-05-22,Sunday,2.0,Sydney Showground,5057,2022,West Coast,Win,14
181,West Coast,10,Away,86,2022-05-22,Sunday,2.0,Sydney Showground,5057,2022,Greater Western Sydney,Loss,18
182,Hawthorn,10,Home,117,2022-05-22,Sunday,3.0,York Park,12007,2022,Brisbane Lions,Win,13
183,Brisbane Lions,10,Away,112,2022-05-22,Sunday,3.0,York Park,12007,2022,Hawthorn,Loss,2
184,Fremantle,10,Home,44,2022-05-22,Sunday,3.0,Perth Stadium,35534,2022,Collingwood,Loss,4
185,Collingwood,10,Away,80,2022-05-22,Sunday,3.0,Perth Stadium,35534,2022,Fremantle,Win,10
186,Sydney,11,Home,106,2022-05-27,Friday,8.0,SCG,31387,2022,Richmond,Win,7
187,Richmond,11,Away,100,2022-05-27,Friday,8.0,SCG,31387,2022,Sydney,Loss,9
188,Geelong,11,Home,97,2022-05-28,Saturday,2.0,Kardinia Park,19051,2022,Adelaide,Win,6
189,Adelaide,11,Away,55,2022-05-28,Saturday,2.0,Kardinia Park,19051,2022,Geelong,Loss,15
190,Brisbane Lions,11,Home,110,2022-05-28,Saturday,2.0,Gabba,22068,2022,Greater Western Sydney,Win,2
191,Greater Western Sydney,11,Away,96,2022-05-28,Saturday,2.0,Gabba,22068,2022,Brisbane Lions,Loss,14
192,Melbourne,11,Home,56,2022-05-28,Saturday,5.0,MCG,29812,2022,Fremantle,Loss,1
193,Fremantle,11,Away,94,2022-05-28,Saturday,5.0,MCG,29812,2022,Melbourne,Win,3
194,West Coast,11,Home,60,2022-05-28,Saturday,6.0,Perth Stadium,31838,2022,Western Bulldogs,Loss,18
195,Western Bulldogs,11,Away,161,2022-05-28,Saturday,6.0,Perth Stadium,31838,2022,West Coast,Win,8
196,Gold Coast,11,Home,121,2022-05-28,Saturday,7.0,Marrara Oval,7516,2022,Hawthorn,Win,12
197,Hawthorn,11,Away,54,2022-05-28,Saturday,7.0,Marrara Oval,7516,2022,Gold Coast,Loss,13
198,St Kilda,11,Home,103,2022-05-29,Sunday,1.0,Docklands,23464,2022,North Melbourne,Win,4
199,North Melbourne,11,Away,50,2022-05-29,Sunday,1.0,Docklands,23464,2022,St Kilda,Loss,17
200,Collingwood,11,Home,79,2022-05-29,Sunday,3.0,MCG,80627,2022,Carlton,Win,10
201,Carlton,11,Away,75,2022-05-29,Sunday,3.0,MCG,80627,2022,Collingwood,Loss,5
202,Port Adelaide,11,Home,66,2022-05-29,Sunday,4.0,Adelaide Oval,25877,2022,Essendon,Win,11
203,Essendon,11,Away,50,2022-05-29,Sunday,4.0,Adelaide Oval,25877,2022,Port Adelaide,Loss,16
204,Western Bulldogs,12,Home,70,2022-06-03,Friday,8.0,Docklands,34370,2022,Geelong,Loss,9
205,Geelong,12,Away,83,2022-06-03,Friday,8.0,Docklands,34370,2022,Western Bulldogs,Win,4
206,Adelaide,12,Home,88,2022-06-04,Saturday,1.0,Adelaide Oval,22859,2022,West Coast,Win,14
207,West Coast,12,Away,57,2022-06-04,Saturday,1.0,Adelaide Oval,22859,2022,Adelaide,Loss,18
208,Gold Coast,12,Home,109,2022-06-04,Saturday,4.0,Marrara Oval,5523,2022,North Melbourne,Win,11
209,North Melbourne,12,Away,47,2022-06-04,Saturday,4.0,Marrara Oval,5523,2022,Gold Coast,Loss,17
210,Melbourne,12,Home,61,2022-06-04,Saturday,7.0,MCG,32753,2022,Sydney,Loss,1
211,Sydney,12,Away,73,2022-06-04,Saturday,7.0,MCG,32753,2022,Melbourne,Win,6
212,Hawthorn,12,Home,68,2022-06-05,Sunday,2.0,MCG,43939,2022,Collingwood,Loss,13
213,Collingwood,12,Away,72,2022-06-05,Sunday,2.0,MCG,43939,2022,Hawthorn,Win,8
214,Fremantle,12,Home,99,2022-06-05,Sunday,3.0,Perth Stadium,47214,2022,Brisbane Lions,Win,3
215,Brisbane Lions,12,Away,85,2022-06-05,Sunday,3.0,Perth Stadium,47214,2022,Fremantle,Loss,2
216,Richmond,13,Home,77,2022-06-09,Thursday,7.0,MCG,21757,2022,Port Adelaide,Win,9
217,Port Adelaide,13,Away,65,2022-06-09,Thursday,7.0,MCG,21757,2022,Richmond,Loss,12
218,Essendon,13,Home,54,2022-06-10,Friday,8.0,MCG,65440,2022,Carlton,Loss,16
219,Carlton,13,Away,80,2022-06-10,Friday,8.0,MCG,65440,2022,Essendon,Win,4
220,Fremantle,13,Home,95,2022-06-11,Saturday,2.0,Perth Stadium,39428,2022,Hawthorn,Win,3
221,Hawthorn,13,Away,82,2022-06-11,Saturday,2.0,Perth Stadium,39428,2022,Fremantle,Loss,14
222,Brisbane Lions,13,Home,78,2022-06-11,Saturday,7.0,Gabba,26610,2022,St Kilda,Win,1
223,St Kilda,13,Away,57,2022-06-11,Saturday,7.0,Gabba,26610,2022,Brisbane Lions,Loss,6
224,North Melbourne,13,Home,53,2022-06-12,Sunday,3.0,Docklands,13742,2022,Greater Western Sydney,Loss,17
225,Greater Western Sydney,13,Away,102,2022-06-12,Sunday,3.0,Docklands,13742,2022,North Melbourne,Win,13
226,Collingwood,13,Home,82,2022-06-13,Monday,3.0,MCG,76059,2022,Melbourne,Win,8
227,Melbourne,13,Away,56,2022-06-13,Monday,3.0,MCG,76059,2022,Collingwood,Loss,2
228,Richmond,14,Home,81,2022-06-16,Thursday,7.0,MCG,50741,2022,Carlton,Win,6
229,Carlton,14,Away,66,2022-06-16,Thursday,7.0,MCG,50741,2022,Richmond,Loss,5
230,St Kilda,14,Home,72,2022-06-17,Friday,8.0,Docklands,33274,2022,Essendon,Loss,8
231,Essendon,14,Away,107,2022-06-17,Friday,8.0,Docklands,33274,2022,St Kilda,Win,16
232,Port Adelaide,14,Home,82,2022-06-18,Saturday,1.0,Adelaide Oval,30445,2022,Sydney,Win,12
233,Sydney,14,Away,59,2022-06-18,Saturday,1.0,Adelaide Oval,30445,2022,Port Adelaide,Loss,7
234,West Coast,14,Home,63,2022-06-18,Saturday,3.0,Perth Stadium,32526,2022,Geelong,Loss,18
235,Geelong,14,Away,81,2022-06-18,Saturday,3.0,Perth Stadium,32526,2022,West Coast,Win,4
236,Greater Western Sydney,14,Home,105,2022-06-18,Saturday,7.0,Sydney Showground,6208,2022,Western Bulldogs,Loss,13
237,Western Bulldogs,14,Away,125,2022-06-18,Saturday,7.0,Sydney Showground,6208,2022,Greater Western Sydney,Win,10
238,Gold Coast,14,Home,116,2022-06-19,Sunday,3.0,Carrara,10507,2022,Adelaide,Win,11
239,Adelaide,14,Away,73,2022-06-19,Sunday,3.0,Carrara,10507,2022,Gold Coast,Loss,15
240,Melbourne,15,Home,117,2022-06-23,Thursday,7.0,MCG,37728,2022,Brisbane Lions,Win,1
241,Brisbane Lions,15,Away,53,2022-06-23,Thursday,7.0,MCG,37728,2022,Melbourne,Loss,3
242,Western Bulldogs,15,Home,125,2022-06-24,Friday,7.0,Docklands,32505,2022,Hawthorn,Win,8
243,Hawthorn,15,Away,83,2022-06-24,Friday,7.0,Docklands,32505,2022,Western Bulldogs,Loss,15
244,West Coast,15,Home,107,2022-06-24,Friday,7.0,Perth Stadium,40933,2022,Essendon,Win,17
245,Essendon,15,Away,97,2022-06-24,Friday,7.0,Perth Stadium,40933,2022,West Coast,Loss,16
246,Carlton,15,Home,81,2022-06-25,Saturday,2.0,Docklands,35441,2022,Fremantle,Win,5
247,Fremantle,15,Away,50,2022-06-25,Saturday,2.0,Docklands,35441,2022,Carlton,Loss,4
248,Geelong,15,Home,89,2022-06-25,Saturday,5.0,MCG,59335,2022,Richmond,Win,2
249,Richmond,15,Away,86,2022-06-25,Saturday,5.0,MCG,59335,2022,Geelong,Loss,9
250,Sydney,15,Home,83,2022-06-25,Saturday,7.0,MCG,31513,2022,St Kilda,Win,6
251,St Kilda,15,Away,32,2022-06-25,Saturday,7.0,MCG,31513,2022,Sydney,Loss,10
